"Biomarker" "Estimate" "lower95" "upper95" "Pvalue" "UKB.Field.ID" "Description" "group_name" "Phenotype" "Analysis_type" "Design" "Origin" "marker_and_origin" "origin_and_analysis_type" "fill"
"1" "Acetate" 0.871308126352137 0.72541892469174 1.04653714592555 0.140630456636116 23475 "Acetate" "Ketone bodies" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "Acetate_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"2" "Acetoacetate" 1.07391112903865 0.974984864078371 1.18287488920481 0.148126831426558 23476 "Acetoacetate" "Ketone bodies" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "Acetoacetate_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"3" "Acetone" 1.0307520676113 0.92204578155713 1.15227448152383 0.594267218482882 23477 "Acetone" "Ketone bodies" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "Acetone_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"4" "Ala" 0.993840739885869 0.882766446565819 1.11889098197985 0.918618743458983 20281 "Alanine" "Amino acids" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "Ala_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"5" "Albumin" 0.883735153113855 0.78129027125029 0.999612883441338 0.0492843807691895 23479 "Albumin" "Fluid balance" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "Albumin_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "sig"
"6" "ApoA1" 0.992723572981964 0.879161198196629 1.12095494475368 0.90620746528726 23440 "Apolipoprotein A1" "Apolipoproteins" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "ApoA1_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"7" "ApoB" 0.980366954024469 0.864252302926055 1.11208192479118 0.757867072863849 23439 "Apolipoprotein B" "Apolipoproteins" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "ApoB_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"8" "ApoB_by_ApoA1" 0.98463590741781 0.873460026655477 1.1099624946648 0.800042643908466 23441 "Apolipoprotein B to Apolipoprotein A1 ratio" "Apolipoproteins" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "ApoB_by_ApoA1_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"9" "bOHbutyrate" 1.04864132558045 0.940071287518537 1.16975025651279 0.394366937681298 23474 "3-Hydroxybutyrate" "Ketone bodies" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "bOHbutyrate_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"10" "Cholines" 0.987722918329492 0.865265784700029 1.12751085347902 0.854865100201321 23436 "Total Cholines" "Other lipids" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "Cholines_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"11" "Citrate" 0.988919552240598 0.868641735043469 1.12585182285169 0.866268560658431 23473 "Citrate" "Glycolysis related metabolites" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "Citrate_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"12" "Clinical_LDL_C" 0.957374605827862 0.84472935508545 1.08504117959928 0.495211931300416 23404 "Clinical LDL Cholesterol" "Cholesterol" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "Clinical_LDL_C_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"13" "Creatinine" 0.965766393844416 0.851740252389859 1.09505770669193 0.586859663368834 23478 "Creatinine" "Fluid balance" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "Creatinine_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"14" "DHA" 0.925811380210163 0.81357480797382 1.05353152940083 0.242371230427072 23450 "Docosahexaenoic Acid" "Fatty acids" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "DHA_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"15" "DHA_pct" 0.909771858722813 0.810140509746883 1.02165590408824 0.110060089580271 23457 "Docosahexaenoic Acid to Total Fatty Acids percentage" "Fatty acid ratios" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "DHA_pct_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"16" "Gln" 0.939737201026352 0.831578378747514 1.06196364595594 0.319107173190381 23461 "Glutamine" "Amino acids" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "Gln_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"17" "Glucose" 1.01551581444472 0.903109050075557 1.14191344810578 0.796990526615545 20280 "Glucose" "Glycolysis related metabolites" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "Glucose_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"18" "Gly" 0.896281537346264 0.793029973981502 1.01297633197219 0.0795157718297056 23462 "Glycine" "Amino acids" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "Gly_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"19" "GlycA" 1.09599783506802 0.972711114904408 1.23491058760219 0.132186643346326 23480 "Glycoprotein Acetyls" "Inflammation" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "GlycA_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"20" "Glycerol" 1.06393624395787 0.943552368745556 1.19967939109953 0.311737745916286 NA NA NA "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "Glycerol_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"21" "HDL_C" 0.96943132301803 0.862261602562844 1.089921071813 0.603480918353072 23406 "HDL Cholesterol" "Cholesterol" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "HDL_C_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"22" "HDL_CE" 0.964007082053911 0.858206154905918 1.08285130436052 0.536572307018042 23418 "Cholesteryl Esters in HDL" "Cholesteryl esters" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "HDL_CE_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"23" "HDL_FC" 0.985987927425483 0.873909149405466 1.1124407996989 0.818711232682813 23422 "Free Cholesterol in HDL" "Free cholesterol" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "HDL_FC_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"24" "HDL_L" 0.997112409796352 0.88394222057507 1.12477165885692 0.962476281326249 23426 "Total Lipids in HDL" "Total lipids" "BC" "Raw" "healthy_noncancer_control" "HUNT_All" "HDL_L_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
