"Biomarker" "Estimate" "lower95" "upper95" "Pvalue" "UKB.Field.ID" "Description" "group_name" "Phenotype" "Analysis_type" "Design" "Origin" "marker_and_origin" "origin_and_analysis_type" "fill"
"1" "Acetate" 0.863492481981987 0.70629060865955 1.05568339334782 0.15229819672357 23475 "Acetate" "Ketone bodies" "BC" "Adjusted" "All_control_except_phenotype" "HUNT_All" "Acetate_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"2" "Acetoacetate" 1.06463236004778 0.960099909793874 1.18054595203978 0.234929299516436 23476 "Acetoacetate" "Ketone bodies" "BC" "Adjusted" "All_control_except_phenotype" "HUNT_All" "Acetoacetate_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"3" "Acetone" 1.0023316966792 0.882393547744893 1.13857227620873 0.971428373839808 23477 "Acetone" "Ketone bodies" "BC" "Adjusted" "All_control_except_phenotype" "HUNT_All" "Acetone_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"4" "Ala" 1.0363170437386 0.908918775226114 1.18157204407614 0.594017720184188 20281 "Alanine" "Amino acids" "BC" "Adjusted" "All_control_except_phenotype" "HUNT_All" "Ala_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"5" "Albumin" 0.86941246347288 0.756463557674381 0.999225969279737 0.048738794462079 23479 "Albumin" "Fluid balance" "BC" "Adjusted" "All_control_except_phenotype" "HUNT_All" "Albumin_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "sig"
"6" "ApoA1" 0.998356960524825 0.868978562894172 1.14699793894657 0.981473714131111 23440 "Apolipoprotein A1" "Apolipoproteins" "BC" "Adjusted" "All_control_except_phenotype" "HUNT_All" "ApoA1_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"7" "ApoB" 0.972221980513473 0.843960118850455 1.11997659401371 0.696339954556597 23439 "Apolipoprotein B" "Apolipoproteins" "BC" "Adjusted" "All_control_except_phenotype" "HUNT_All" "ApoB_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"8" "ApoB_by_ApoA1" 0.975896459874618 0.850328153638641 1.12000748925048 0.728444127674111 23441 "Apolipoprotein B to Apolipoprotein A1 ratio" "Apolipoproteins" "BC" "Adjusted" "All_control_except_phenotype" "HUNT_All" "ApoB_by_ApoA1_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"9" "bOHbutyrate" 1.03796881811874 0.919953899258751 1.17112310546747 0.545082384795869 23474 "3-Hydroxybutyrate" "Ketone bodies" "BC" "Adjusted" "All_control_except_phenotype" "HUNT_All" "bOHbutyrate_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"10" "Cholines" 0.986070847519163 0.852226176715088 1.14093622431904 0.850512194267787 23436 "Total Cholines" "Other lipids" "BC" "Adjusted" "All_control_except_phenotype" "HUNT_All" "Cholines_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"11" "Citrate" 0.993991515324362 0.872172650830399 1.13282517125035 0.928012363309054 23473 "Citrate" "Glycolysis related metabolites" "BC" "Adjusted" "All_control_except_phenotype" "HUNT_All" "Citrate_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"12" "Clinical_LDL_C" 0.948415372746659 0.825386183069307 1.08978286493397 0.45499427028148 23404 "Clinical LDL Cholesterol" "Cholesterol" "BC" "Adjusted" "All_control_except_phenotype" "HUNT_All" "Clinical_LDL_C_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"13" "Creatinine" 0.97235334341798 0.84429625250885 1.11983325953021 0.697189014746738 23478 "Creatinine" "Fluid balance" "BC" "Adjusted" "All_control_except_phenotype" "HUNT_All" "Creatinine_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"14" "DHA" 0.918152189471365 0.793180724619198 1.06281382901202 0.252667647217441 23450 "Docosahexaenoic Acid" "Fatty acids" "BC" "Adjusted" "All_control_except_phenotype" "HUNT_All" "DHA_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
"15" "DHA_pct" 0.904250430827591 0.789443299700733 1.03575372919353 0.146259825490132 23457 "Docosahexaenoic Acid to Total Fatty Acids percentage" "Fatty acid ratios" "BC" "Adjusted" "All_control_except_phenotype" "HUNT_All" "DHA_pct_HUNT_All_BC_Adjusted" "HUNT_All_BC_Adjusted" "not-sig"
