"Biomarker","Description","Phenotype","HUNT_all","UKBB","HUNT_reduced","Analysis_type","Design","key"
"Acetate","Acetate","BC","0.872(95% CI:0.726-1.046; P=0.1401066223)","0.995(95% CI:0.972-1.018; P=0.6581764034)","0.767(95% CI:0.597-0.985; P=0.0374011722)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Acetoacetate","Acetoacetate","BC","1.074(95% CI:0.975-1.183; P=0.1476979561)","1.044(95% CI:1.024-1.064; P=0.0000141812)","1.089(95% CI:0.978-1.213; P=0.1201098759)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Acetone","Acetone","BC","1.033(95% CI:0.924-1.154; P=0.5693607866)","1.028(95% CI:1.009-1.048; P=0.0039180565)","1.06(95% CI:0.941-1.194; P=0.334696587)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Ala","Alanine","BC","0.993(95% CI:0.882-1.118; P=0.9028129293)","1.005(95% CI:0.984-1.027; P=0.6380002656)","1.087(95% CI:0.95-1.244; P=0.2239911263)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Albumin","Albumin","BC","0.886(95% CI:0.784-1.003; P=0.0551693315)","0.958(95% CI:0.938-0.979; P=0.0001233166)","0.953(95% CI:0.831-1.093; P=0.4915920429)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"ApoA1","Apolipoprotein A1","BC","0.995(95% CI:0.881-1.123; P=0.9293045028)","0.988(95% CI:0.967-1.01; P=0.2936474362)","1.009(95% CI:0.88-1.157; P=0.8972970948)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"ApoB","Apolipoprotein B","BC","0.979(95% CI:0.863-1.111; P=0.7412510423)","1.011(95% CI:0.989-1.033; P=0.3438880388)","1.013(95% CI:0.881-1.164; P=0.8596130544)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"bOHbutyrate","3-Hydroxybutyrate","BC","1.049(95% CI:0.94-1.17; P=0.3906881712)","1.037(95% CI:1.016-1.058; P=0.00050511)","1.074(95% CI:0.953-1.21; P=0.2450190236)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Cholines","Total Cholines","BC","0.988(95% CI:0.866-1.128; P=0.8609442675)","1.003(95% CI:0.981-1.025; P=0.8029560622)","1.034(95% CI:0.897-1.192; P=0.644831739)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Citrate","Citrate","BC","0.984(95% CI:0.861-1.125; P=0.8110240984)","0.995(95% CI:0.974-1.018; P=0.6880730966)","1.02(95% CI:0.915-1.136; P=0.7206654151)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Clinical_LDL_C","Clinical LDL Cholesterol","BC","0.957(95% CI:0.844-1.084; P=0.4875715462)","1.003(95% CI:0.981-1.025; P=0.7881019527)","0.99(95% CI:0.862-1.136; P=0.8842616932)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Creatinine","Creatinine","BC","0.96(95% CI:0.846-1.089; P=0.5222760001)","1.007(95% CI:0.985-1.029; P=0.5361474011)","0.979(95% CI:0.852-1.125; P=0.7615326901)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"DHA","Docosahexaenoic Acid","BC","0.924(95% CI:0.811-1.051; P=0.2293753985)","0.989(95% CI:0.967-1.011; P=0.3321956924)","0.922(95% CI:0.797-1.067; P=0.2777776622)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Gln","Glutamine","BC","0.941(95% CI:0.833-1.063; P=0.3276903986)","0.95(95% CI:0.93-0.971; P=0.0000053244)","1.029(95% CI:0.897-1.181; P=0.6814443772)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Glucose","Glucose","BC","1.016(95% CI:0.903-1.143; P=0.7906386974)","1.016(95% CI:0.994-1.039; P=0.1548183666)","1.023(95% CI:0.894-1.17; P=0.7418631322)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"Gly","Glycine","BC","0.894(95% CI:0.791-1.01; P=0.0723589777)","0.954(95% CI:0.933-0.975; P=0.0000251237)","0.899(95% CI:0.781-1.035; P=0.1401277582)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"GlycA","Glycoprotein Acetyls","BC","1.094(95% CI:0.971-1.233; P=0.141550702)","1.049(95% CI:1.026-1.072; P=0.0000238973)","1.093(95% CI:0.952-1.254; P=0.2065838955)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"HDL_C","HDL Cholesterol","BC","0.971(95% CI:0.864-1.091; P=0.6209618059)","0.976(95% CI:0.955-0.998; P=0.0301435779)","0.967(95% CI:0.844-1.108; P=0.6283046049)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"HDL_CE","Cholesteryl Esters in HDL","BC","0.966(95% CI:0.86-1.085; P=0.5544905674)","0.975(95% CI:0.954-0.996; P=0.0221509277)","0.959(95% CI:0.838-1.099; P=0.5488558177)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"HDL_FC","Free Cholesterol in HDL","BC","0.987(95% CI:0.875-1.113; P=0.8297053693)","0.982(95% CI:0.96-1.003; P=0.0989806688)","0.988(95% CI:0.861-1.132; P=0.8574583708)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"HDL_L","Total Lipids in HDL","BC","0.999(95% CI:0.885-1.126; P=0.9826775847)","0.984(95% CI:0.963-1.006; P=0.150114195)","1.008(95% CI:0.88-1.156; P=0.9071217809)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"HDL_PL","Phospholipids in HDL","BC","1.011(95% CI:0.896-1.141; P=0.8529652177)","0.989(95% CI:0.968-1.011; P=0.3307930099)","1.025(95% CI:0.895-1.175; P=0.7192353606)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"HDL_TG","Triglycerides in HDL","BC","1.084(95% CI:0.962-1.221; P=0.184724906)","1.028(95% CI:1.006-1.051; P=0.0119974675)","1.113(95% CI:0.976-1.269; P=0.1100125314)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"His","Histidine","BC","1.014(95% CI:0.899-1.144; P=0.8213062138)","0.967(95% CI:0.945-0.989; P=0.0038758783)","1.087(95% CI:0.949-1.245; P=0.2297710356)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"IDL_C","Cholesterol in IDL","BC","0.949(95% CI:0.837-1.076; P=0.4153540046)","0.998(95% CI:0.976-1.02; P=0.8476294113)","0.975(95% CI:0.849-1.119; P=0.7173673353)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"IDL_CE","Cholesteryl Esters in IDL","BC","0.949(95% CI:0.837-1.076; P=0.4124267344)","0.998(95% CI:0.976-1.02; P=0.8400515184)","0.974(95% CI:0.848-1.119; P=0.710848684)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
"IDL_FC","Free Cholesterol in IDL","BC","0.942(95% CI:0.832-1.066; P=0.3400105923)","0.998(95% CI:0.976-1.02; P=0.859110664)","0.962(95% CI:0.839-1.104; P=0.5846507025)","Raw","All_control_except_phenotype","Raw All_control_except_phenotype"
