"Biomarker" "Estimate" "lower95" "upper95" "Pvalue" "UKB.Field.ID" "Description" "group_name" "Phenotype" "Analysis_type" "Design" "Origin" "marker_and_origin" "origin_and_analysis_type" "fill"
"1" "Acetate" 0.871566049337588 0.726094566611149 1.04618243034552 0.140106622278165 23475 "Acetate" "Ketone bodies" "BC" "Raw" "All_control_except_phenotype" "HUNT_All" "Acetate_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"2" "Acetoacetate" 1.07413803219195 0.975011635814043 1.18334230056435 0.147697956094385 23476 "Acetoacetate" "Ketone bodies" "BC" "Raw" "All_control_except_phenotype" "HUNT_All" "Acetoacetate_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"3" "Acetone" 1.03272985971062 0.924288989908849 1.15389339782474 0.569360786596223 23477 "Acetone" "Ketone bodies" "BC" "Raw" "All_control_except_phenotype" "HUNT_All" "Acetone_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"4" "Ala" 0.992643076582531 0.881697331120037 1.11754934795542 0.902812929296552 20281 "Alanine" "Amino acids" "BC" "Raw" "All_control_except_phenotype" "HUNT_All" "Ala_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"5" "Albumin" 0.886343031408573 0.783509759210856 1.00267285772904 0.0551693314846676 23479 "Albumin" "Fluid balance" "BC" "Raw" "All_control_except_phenotype" "HUNT_All" "Albumin_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"6" "ApoA1" 0.99452473736936 0.880927534590125 1.12277050540802 0.929304502800605 23440 "Apolipoprotein A1" "Apolipoproteins" "BC" "Raw" "All_control_except_phenotype" "HUNT_All" "ApoA1_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"7" "ApoB" 0.978971697069128 0.862946888834929 1.11059625576301 0.741251042299369 23439 "Apolipoprotein B" "Apolipoproteins" "BC" "Raw" "All_control_except_phenotype" "HUNT_All" "ApoB_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"8" "ApoB_by_ApoA1" 0.982829694767321 0.871676092628423 1.10815728122555 0.777302236350919 23441 "Apolipoprotein B to Apolipoprotein A1 ratio" "Apolipoproteins" "BC" "Raw" "All_control_except_phenotype" "HUNT_All" "ApoB_by_ApoA1_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"9" "bOHbutyrate" 1.04896612741661 0.940493198327063 1.16994991396499 0.390688171170539 23474 "3-Hydroxybutyrate" "Ketone bodies" "BC" "Raw" "All_control_except_phenotype" "HUNT_All" "bOHbutyrate_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
"10" "Cholines" 0.988265533884856 0.865996313712523 1.12779783239232 0.860944267502744 23436 "Total Cholines" "Other lipids" "BC" "Raw" "All_control_except_phenotype" "HUNT_All" "Cholines_HUNT_All_BC_Raw" "HUNT_All_BC_Raw" "not-sig"
