"Biomarker","Description","Phenotype","HUNT_all","UKBB","HUNT_reduced","Analysis_type","Design","key"
"Acetate","Acetate","BC","0.863(95% CI:0.706-1.056; P=0.1522981967)","1(95% CI:0.978-1.022; P=0.9869443679)","0.768(95% CI:0.586-1.006; P=0.0553051613)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Acetoacetate","Acetoacetate","BC","1.065(95% CI:0.96-1.181; P=0.2349292995)","1.036(95% CI:1.015-1.057; P=0.0007489723)","1.061(95% CI:0.947-1.189; P=0.3053331472)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Acetone","Acetone","BC","1.002(95% CI:0.882-1.139; P=0.9714283738)","1.024(95% CI:1.004-1.045; P=0.0175776231)","1.016(95% CI:0.887-1.162; P=0.8227319967)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Ala","Alanine","BC","1.036(95% CI:0.909-1.182; P=0.5940177202)","0.998(95% CI:0.976-1.021; P=0.8766937066)","1.143(95% CI:0.987-1.324; P=0.0741152631)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Albumin","Albumin","BC","0.869(95% CI:0.756-0.999; P=0.0487387945)","0.96(95% CI:0.938-0.982; P=0.0005200907)","0.947(95% CI:0.813-1.103; P=0.4819291944)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"ApoA1","Apolipoprotein A1","BC","0.998(95% CI:0.869-1.147; P=0.9814737141)","0.985(95% CI:0.961-1.009; P=0.22003022)","0.997(95% CI:0.853-1.164; P=0.9672669064)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"ApoB","Apolipoprotein B","BC","0.972(95% CI:0.844-1.12; P=0.6963399546)","1.007(95% CI:0.985-1.031; P=0.5256154305)","1.01(95% CI:0.867-1.176; P=0.9016992336)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"bOHbutyrate","3-Hydroxybutyrate","BC","1.038(95% CI:0.92-1.171; P=0.5450823848)","1.031(95% CI:1.01-1.053; P=0.0040331812)","1.038(95% CI:0.909-1.185; P=0.5832385947)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Cholines","Total Cholines","BC","0.986(95% CI:0.852-1.141; P=0.8505121943)","0.998(95% CI:0.974-1.021; P=0.8363076881)","1.018(95% CI:0.871-1.188; P=0.8260283789)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Citrate","Citrate","BC","0.994(95% CI:0.872-1.133; P=0.9280123633)","1.008(95% CI:0.985-1.031; P=0.5220370422)","1.024(95% CI:0.932-1.125; P=0.6191383635)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Clinical_LDL_C","Clinical LDL Cholesterol","BC","0.948(95% CI:0.825-1.09; P=0.4549942703)","1.002(95% CI:0.979-1.025; P=0.8700990113)","0.991(95% CI:0.852-1.152; P=0.9053741782)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Creatinine","Creatinine","BC","0.972(95% CI:0.844-1.12; P=0.6971890147)","0.998(95% CI:0.975-1.022; P=0.8632629532)","0.975(95% CI:0.837-1.136; P=0.7470787856)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"DHA","Docosahexaenoic Acid","BC","0.918(95% CI:0.793-1.063; P=0.2526676472)","0.989(95% CI:0.966-1.013; P=0.3639670631)","0.914(95% CI:0.778-1.074; P=0.2742779759)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Gln","Glutamine","BC","0.977(95% CI:0.853-1.12; P=0.7425473018)","0.964(95% CI:0.942-0.986; P=0.0013981986)","1.062(95% CI:0.912-1.237; P=0.4396695598)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Glucose","Glucose","BC","1(95% CI:0.875-1.143; P=0.9986926557)","1.007(95% CI:0.984-1.03; P=0.5574643007)","1.045(95% CI:0.904-1.209; P=0.5494622856)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Gly","Glycine","BC","0.961(95% CI:0.841-1.097; P=0.5521113893)","0.968(95% CI:0.946-0.991; P=0.0064928055)","0.953(95% CI:0.819-1.109; P=0.5327617337)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"GlycA","Glycoprotein Acetyls","BC","1.098(95% CI:0.951-1.268; P=0.2028197851)","1.03(95% CI:1.004-1.057; P=0.0224703409)","1.089(95% CI:0.924-1.285; P=0.3093049035)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"HDL_C","HDL Cholesterol","BC","0.987(95% CI:0.859-1.133; P=0.8484184418)","0.98(95% CI:0.956-1.005; P=0.1162661761)","0.971(95% CI:0.828-1.139; P=0.7216567924)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"HDL_CE","Cholesteryl Esters in HDL","BC","0.979(95% CI:0.853-1.125; P=0.7667791044)","0.979(95% CI:0.955-1.003; P=0.0913194048)","0.963(95% CI:0.821-1.13; P=0.6457197054)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"HDL_FC","Free Cholesterol in HDL","BC","1.01(95% CI:0.879-1.16; P=0.8909878528)","0.986(95% CI:0.962-1.011; P=0.260307911)","0.994(95% CI:0.85-1.162; P=0.9377082814)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"HDL_L","Total Lipids in HDL","BC","1.011(95% CI:0.88-1.162; P=0.8769936009)","0.984(95% CI:0.961-1.009; P=0.2106324166)","1.004(95% CI:0.859-1.174; P=0.9604254114)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"HDL_PL","Phospholipids in HDL","BC","1.019(95% CI:0.888-1.17; P=0.7879000554)","0.987(95% CI:0.963-1.011; P=0.2930714057)","1.015(95% CI:0.87-1.184; P=0.8531728818)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"HDL_TG","Triglycerides in HDL","BC","1.066(95% CI:0.931-1.221; P=0.3554658405)","1.014(95% CI:0.991-1.037; P=0.2418656813)","1.073(95% CI:0.926-1.244; P=0.3486195383)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"His","Histidine","BC","1.028(95% CI:0.9-1.174; P=0.6864565991)","0.969(95% CI:0.946-0.992; P=0.0084389438)","1.131(95% CI:0.975-1.311; P=0.1040073758)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"IDL_C","Cholesterol in IDL","BC","0.948(95% CI:0.824-1.091; P=0.457256186)","0.999(95% CI:0.977-1.022; P=0.9556639048)","0.978(95% CI:0.841-1.137; P=0.7708898187)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"IDL_CE","Cholesteryl Esters in IDL","BC","0.949(95% CI:0.824-1.092; P=0.4613311477)","0.999(95% CI:0.976-1.022; P=0.9095295776)","0.978(95% CI:0.84-1.138; P=0.7717463129)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"IDL_FC","Free Cholesterol in IDL","BC","0.939(95% CI:0.817-1.078; P=0.3709012942)","1.001(95% CI:0.978-1.024; P=0.9485274643)","0.963(95% CI:0.828-1.12; P=0.625606828)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"IDL_PL","Phospholipids in IDL","BC","0.949(95% CI:0.824-1.093; P=0.4660345835)","1.002(95% CI:0.979-1.025; P=0.8649183878)","0.977(95% CI:0.839-1.137; P=0.7629079218)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"IDL_TG","Triglycerides in IDL","BC","1.073(95% CI:0.934-1.233; P=0.320489826)","1.02(95% CI:0.997-1.044; P=0.0872850987)","1.068(95% CI:0.92-1.239; P=0.3872632153)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"Ile","Isoleucine","BC","0.991(95% CI:0.871-1.128; P=0.8928799653)","1.022(95% CI:0.999-1.045; P=0.0581046707)","1.059(95% CI:0.916-1.225; P=0.4408645805)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"L_HDL_C","Cholesterol in Large HDL","BC","1.001(95% CI:0.871-1.15; P=0.9868784695)","0.982(95% CI:0.957-1.007; P=0.1521645786)","0.965(95% CI:0.821-1.135; P=0.6693406005)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"L_HDL_CE","Cholesteryl Esters in Large HDL","BC","0.997(95% CI:0.867-1.145; P=0.9617364867)","0.981(95% CI:0.956-1.006; P=0.1300495638)","0.96(95% CI:0.816-1.129; P=0.6219245272)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"L_HDL_FC","Free Cholesterol in Large HDL","BC","1.016(95% CI:0.886-1.166; P=0.8161454497)","0.985(95% CI:0.96-1.01; P=0.2234585864)","0.98(95% CI:0.835-1.149; P=0.8026588572)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"L_HDL_PL","Phospholipids in Large HDL","BC","1.024(95% CI:0.893-1.175; P=0.7343608434)","0.985(95% CI:0.96-1.009; P=0.222353662)","0.989(95% CI:0.844-1.159; P=0.8928582887)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"L_HDL_TG","Triglycerides in Large HDL","BC","1.065(95% CI:0.931-1.217; P=0.3585170593)","1.003(95% CI:0.98-1.026; P=0.8005968097)","1.042(95% CI:0.903-1.203; P=0.573658519)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"L_LDL_C","Cholesterol in Large LDL","BC","0.93(95% CI:0.81-1.069; P=0.3093379059)","1(95% CI:0.978-1.023; P=0.9902144988)","0.977(95% CI:0.84-1.136; P=0.7596028841)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"L_LDL_CE","Cholesteryl Esters in Large LDL","BC","0.93(95% CI:0.809-1.07; P=0.3101376743)","1.001(95% CI:0.979-1.024; P=0.9160636466)","0.979(95% CI:0.841-1.139; P=0.7827349887)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"L_LDL_FC","Free Cholesterol in Large LDL","BC","0.923(95% CI:0.804-1.058; P=0.2504097212)","0.996(95% CI:0.973-1.018; P=0.6982608396)","0.958(95% CI:0.825-1.113; P=0.5771411511)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"L_LDL_PL","Phospholipids in Large LDL","BC","0.941(95% CI:0.818-1.082; P=0.3918522079)","1.001(95% CI:0.979-1.024; P=0.9220328495)","0.979(95% CI:0.842-1.139; P=0.7850739215)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"L_LDL_TG","Triglycerides in Large LDL","BC","1.081(95% CI:0.94-1.242; P=0.2751459233)","1.02(95% CI:0.996-1.043; P=0.1009984975)","1.076(95% CI:0.927-1.25; P=0.3345248265)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"L_VLDL_C","Cholesterol in Large VLDL","BC","1.041(95% CI:0.907-1.195; P=0.5682781888)","1.016(95% CI:0.992-1.04; P=0.1954104367)","1.085(95% CI:0.93-1.265; P=0.3024584458)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"L_VLDL_CE","Cholesteryl Esters in Large VLDL","BC","1.025(95% CI:0.893-1.177; P=0.7232803342)","1.014(95% CI:0.99-1.038; P=0.2605762824)","1.068(95% CI:0.916-1.246; P=0.4019597085)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"L_VLDL_FC","Free Cholesterol in Large VLDL","BC","1.063(95% CI:0.928-1.217; P=0.3808614146)","1.018(95% CI:0.994-1.042; P=0.1496029954)","1.104(95% CI:0.949-1.286; P=0.2000042735)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
"L_VLDL_PL","Phospholipids in Large VLDL","BC","1.069(95% CI:0.934-1.224; P=0.3298672213)","1.018(95% CI:0.994-1.042; P=0.1358265408)","1.109(95% CI:0.953-1.29; P=0.1804369185)","Adjusted","All_control_except_phenotype","Adjusted All_control_except_phenotype"
