"Biomarker","Description","Phenotype","HUNT_all","UKBB","HUNT_reduced","Analysis_type","Design","key"
"Acetate","Acetate","BC","0.871(95% CI:0.725-1.047; P=0.1406304566)","0.995(95% CI:0.973-1.018; P=0.6836955975)","0.763(95% CI:0.594-0.982; P=0.0353251836)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Acetoacetate","Acetoacetate","BC","1.074(95% CI:0.975-1.183; P=0.1481268314)","1.046(95% CI:1.026-1.066; P=0.0000042456)","1.088(95% CI:0.977-1.212; P=0.1224101057)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Acetone","Acetone","BC","1.031(95% CI:0.922-1.152; P=0.5942672185)","1.03(95% CI:1.011-1.049; P=0.0020361429)","1.058(95% CI:0.939-1.193; P=0.3517544089)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Ala","Alanine","BC","0.994(95% CI:0.883-1.119; P=0.9186187435)","1.004(95% CI:0.983-1.026; P=0.6971965861)","1.086(95% CI:0.949-1.243; P=0.2289693004)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Albumin","Albumin","BC","0.884(95% CI:0.781-1; P=0.0492843808)","0.959(95% CI:0.938-0.98; P=0.0001457778)","0.952(95% CI:0.83-1.091; P=0.4796434784)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"ApoA1","Apolipoprotein A1","BC","0.993(95% CI:0.879-1.121; P=0.9062074653)","0.99(95% CI:0.969-1.012; P=0.3747038491)","1.007(95% CI:0.878-1.155; P=0.9197550534)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"ApoB","Apolipoprotein B","BC","0.98(95% CI:0.864-1.112; P=0.7578670729)","1.012(95% CI:0.99-1.034; P=0.2946909002)","1.014(95% CI:0.882-1.165; P=0.8497535758)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"bOHbutyrate","3-Hydroxybutyrate","BC","1.049(95% CI:0.94-1.17; P=0.3943669377)","1.038(95% CI:1.017-1.059; P=0.0003256083)","1.074(95% CI:0.953-1.21; P=0.2439674491)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Cholines","Total Cholines","BC","0.988(95% CI:0.865-1.128; P=0.8548651002)","1.006(95% CI:0.984-1.029; P=0.5947218708)","1.033(95% CI:0.896-1.191; P=0.6571319171)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Citrate","Citrate","BC","0.989(95% CI:0.869-1.126; P=0.8662685607)","0.995(95% CI:0.973-1.018; P=0.675826468)","1.022(95% CI:0.92-1.135; P=0.6900117567)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Clinical_LDL_C","Clinical LDL Cholesterol","BC","0.957(95% CI:0.845-1.085; P=0.4952119313)","1.003(95% CI:0.981-1.025; P=0.8050571816)","0.99(95% CI:0.862-1.137; P=0.8903627784)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Creatinine","Creatinine","BC","0.966(95% CI:0.852-1.095; P=0.5868596634)","1.012(95% CI:0.99-1.034; P=0.2805270396)","0.984(95% CI:0.857-1.131; P=0.8246435577)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"DHA","Docosahexaenoic Acid","BC","0.926(95% CI:0.814-1.054; P=0.2423712304)","0.99(95% CI:0.968-1.012; P=0.369998245)","0.924(95% CI:0.799-1.068; P=0.2867476173)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Gln","Glutamine","BC","0.94(95% CI:0.832-1.062; P=0.3191071732)","0.95(95% CI:0.93-0.971; P=0.0000053221)","1.026(95% CI:0.894-1.178; P=0.7121537164)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Glucose","Glucose","BC","1.016(95% CI:0.903-1.142; P=0.7969905266)","1.018(95% CI:0.996-1.04; P=0.116043246)","1.024(95% CI:0.895-1.171; P=0.7324906388)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"Gly","Glycine","BC","0.896(95% CI:0.793-1.013; P=0.0795157718)","0.952(95% CI:0.932-0.974; P=0.0000138753)","0.9(95% CI:0.782-1.036; P=0.141885947)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"GlycA","Glycoprotein Acetyls","BC","1.096(95% CI:0.973-1.235; P=0.1321866433)","1.054(95% CI:1.031-1.077; P=0.0000031644)","1.095(95% CI:0.955-1.256; P=0.1925668379)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
"HDL_C","HDL Cholesterol","BC","0.969(95% CI:0.862-1.09; P=0.6034809184)","0.976(95% CI:0.955-0.998; P=0.03007704)","0.965(95% CI:0.842-1.106; P=0.6090109846)","Raw","healthy_noncancer_control","Raw healthy_noncancer_control"
